merchant_id,institution_id,merchant_name,merchant_category,city,state,country,merchant_status
MER000001,INS000001,Upadhyay PLC Store,Travel,Lucknow,Uttar Pradesh,India,Active
MER000002,INS000005,Goyal-Tailor Store,Travel,Kochi,Kerala,India,Active
MER000003,INS000003,Goswami-Shukla Store,Restaurant,Kolkata,West Bengal,India,Active
MER000004,INS000002,Rau-Luthra Store,Entertainment,Jaipur,Rajasthan,India,Active
MER000005,INS000005,Gour Inc Store,Shopping,Indore,Madhya Pradesh,India,Inactive
MER000006,INS000005,"Bhattacharyya, Sen and Tiwari Store",Shopping,Patna,Bihar,India,Active
MER000007,INS000004,"Agrawal, Koshy and Sibal Store",Healthcare,Nagpur,Maharashtra,India,Active
MER000008,INS000002,"Balasubramanian, Chakrabarti and Bhargava Store",Fuel,Nagpur,Maharashtra,India,Active
MER000009,INS000005,Sundaram and Sons Store,Electronics,Surat,Gujarat,India,Inactive
MER000010,INS000004,"Rajagopalan, Warrior and Shukla Store",Grocery,Kolkata,West Bengal,India,Active
MER000011,INS000001,Choudhury-Barman Store,Shopping,Lucknow,Uttar Pradesh,India,Active
MER000012,INS000005,Cheema-Srinivas Store,Healthcare,Chandigarh,Chandigarh,India,Active
MER000013,INS000002,"Devi, Dani and Mistry Store",Shopping,Bengaluru,Karnataka,India,Active
MER000014,INS000004,"Pradhan, Naik and Memon Store",Shopping,Ahmedabad,Gujarat,India,Active
MER000015,INS000001,Kalla PLC Store,Shopping,Kolkata,West Bengal,India,Active
MER000016,INS000005,"Vala, Jaggi and Chaudry Store",Electronics,Kochi,Kerala,India,Active
MER000017,INS000004,"Bajwa, Pau and Sant Store",Grocery,Jaipur,Rajasthan,India,Active
MER000018,INS000001,Yadav PLC Store,Electronics,Nagpur,Maharashtra,India,Active
MER000019,INS000003,Sandal-Aggarwal Store,Travel,Pune,Maharashtra,India,Active
MER000020,INS000002,Uppal-Gour Store,Electronics,Kolkata,West Bengal,India,Active
MER000021,INS000002,"Buch, Chokshi and Khanna Store",Grocery,Indore,Madhya Pradesh,India,Active
MER000022,INS000002,Hayer Group Store,Grocery,Nagpur,Maharashtra,India,Active
MER000023,INS000003,Ganesh-Din Store,Fuel,Bengaluru,Karnataka,India,Active
MER000024,INS000004,Kothari-Narain Store,Electronics,Bengaluru,Karnataka,India,Active
MER000025,INS000003,Randhawa-Deol Store,Entertainment,Thane,Maharashtra,India,Active
MER000026,INS000005,"Natt, Salvi and Khare Store",Travel,Mumbai,Maharashtra,India,Active
MER000027,INS000002,Loyal LLC Store,Electronics,Delhi,Delhi,India,Active
MER000028,INS000004,"Kade, Roy and Padmanabhan Store",Shopping,Indore,Madhya Pradesh,India,Active
MER000029,INS000004,"Borde, Dewan and Samra Store",Electronics,Bhubaneswar,Odisha,India,Active
