location_id,city,state,country,latitude,longitude
LOC000001,Mysuru,Karnataka,India,12.270772,76.66772
LOC000002,Kolkata,West Bengal,India,22.619316,88.354389
LOC000003,Kolkata,West Bengal,India,22.612217,88.339103
LOC000004,Hyderabad,Telangana,India,17.419135,78.496828
LOC000005,Kochi,Kerala,India,9.884743,76.281497
LOC000006,Delhi,Delhi,India,28.648691,77.172189
LOC000007,Jaipur,Rajasthan,India,26.93729,75.800537
LOC000008,Delhi,Delhi,India,28.639307,77.170144
LOC000009,Thane,Maharashtra,India,19.210935,72.98046
LOC000010,Bhubaneswar,Odisha,India,20.293301,85.801366
LOC000011,Thane,Maharashtra,India,19.190899,73.01512
LOC000012,Delhi,Delhi,India,28.592938,77.209294
LOC000013,Mysuru,Karnataka,India,12.277162,76.662839
LOC000014,Kochi,Kerala,India,9.889329,76.300195
LOC000015,Ahmedabad,Gujarat,India,22.982019,72.581389
LOC000016,Kolkata,West Bengal,India,22.564972,88.408194
LOC000017,Kochi,Kerala,India,9.911438,76.274714
LOC000018,Lucknow,Uttar Pradesh,India,26.839694,80.912116
LOC000019,Thane,Maharashtra,India,19.243607,72.969775
LOC000020,Chandigarh,Chandigarh,India,30.734968,76.731224
LOC000021,Thane,Maharashtra,India,19.202569,73.010692
LOC000022,Patna,Bihar,India,25.5667,85.149149
LOC000023,Bhopal,Madhya Pradesh,India,23.280683,77.422743
LOC000024,Mumbai,Maharashtra,India,19.037978,72.880389
LOC000025,Chennai,Tamil Nadu,India,13.061816,80.262878
LOC000026,Bhopal,Madhya Pradesh,India,23.308082,77.3949
LOC000027,Kochi,Kerala,India,9.918706,76.249107
LOC000028,Indore,Madhya Pradesh,India,22.734728,75.860194
LOC000029,Bhopal,Madhya Pradesh,India,23.231923,77.400373
LOC000030,Delhi,Delhi,India,28.567899,77.239271
LOC000031,Jaipur,Rajasthan,India,26.929251,75.750279
LOC000032,Thane,Maharashtra,India,19.223901,73.002259
LOC000033,Hyderabad,Telangana,India,17.356191,78.49145
LOC000034,Indore,Madhya Pradesh,India,22.67418,75.826042
LOC000035,Hyderabad,Telangana,India,17.409917,78.47051
LOC000036,Lucknow,Uttar Pradesh,India,26.816487,80.93913
LOC000037,Delhi,Delhi,India,28.595977,77.171379
LOC000038,Kochi,Kerala,India,9.912267,76.291265
LOC000039,Indore,Madhya Pradesh,India,22.712022,75.863123
LOC000040,Mysuru,Karnataka,India,12.317349,76.601467
LOC000041,Surat,Gujarat,India,21.206627,72.787128
LOC000042,Kochi,Kerala,India,9.964822,76.22479
LOC000043,Bengaluru,Karnataka,India,12.930244,77.558411
LOC000044,Indore,Madhya Pradesh,India,22.681083,75.855657
LOC000045,Bengaluru,Karnataka,India,12.933982,77.550236
LOC000046,Lucknow,Uttar Pradesh,India,26.829551,80.967104
LOC000047,Delhi,Delhi,India,28.607118,77.172919
LOC000048,Jaipur,Rajasthan,India,26.906202,75.770985
LOC000049,Ahmedabad,Gujarat,India,23.012267,72.554922
LOC000050,Indore,Madhya Pradesh,India,22.739714,75.870711
LOC000051,Bengaluru,Karnataka,India,13.014604,77.592211
LOC000052,Mysuru,Karnataka,India,12.320067,76.686138
LOC000053,Mysuru,Karnataka,India,12.335247,76.654174
LOC000054,Surat,Gujarat,India,21.127064,72.852664
LOC000055,Ahmedabad,Gujarat,India,23.008114,72.585959
LOC000056,Delhi,Delhi,India,28.645088,77.228107
LOC000057,Pune,Maharashtra,India,18.548797,73.847299
LOC000058,Ahmedabad,Gujarat,India,22.992443,72.581839
LOC000059,Indore,Madhya Pradesh,India,22.68526,75.867677
LOC000060,Nagpur,Maharashtra,India,21.152351,79.130585
LOC000061,Kochi,Kerala,India,9.908875,76.305692
LOC000062,Bhopal,Madhya Pradesh,India,23.237155,77.384761
LOC000063,Hyderabad,Telangana,India,17.417357,78.514042
LOC000064,Mysuru,Karnataka,India,12.259225,76.621819
LOC000065,Patna,Bihar,India,25.570652,85.127945
LOC000066,Delhi,Delhi,India,28.573146,77.19426
LOC000067,Mumbai,Maharashtra,India,19.073272,72.849633
LOC000068,Chandigarh,Chandigarh,India,30.69551,76.798007
LOC000069,Kochi,Kerala,India,9.928387,76.272052
LOC000070,Delhi,Delhi,India,28.58209,77.197301
LOC000071,Lucknow,Uttar Pradesh,India,26.80182,80.917799
LOC000072,Bhopal,Madhya Pradesh,India,23.235461,77.407868
LOC000073,Mumbai,Maharashtra,India,19.035363,72.870569
LOC000074,Mumbai,Maharashtra,India,19.077778,72.875419
LOC000075,Lucknow,Uttar Pradesh,India,26.846361,80.928682
LOC000076,Mumbai,Maharashtra,India,19.090906,72.89675
LOC000077,Chennai,Tamil Nadu,India,13.076138,80.300935
LOC000078,Bhubaneswar,Odisha,India,20.312851,85.860185
LOC000079,Patna,Bihar,India,25.54846,85.133119
LOC000080,Lucknow,Uttar Pradesh,India,26.863024,80.979466
LOC000081,Bhubaneswar,Odisha,India,20.32814,85.79968
LOC000082,Hyderabad,Telangana,India,17.40514,78.465915
LOC000083,Patna,Bihar,India,25.580189,85.137012
LOC000084,Kolkata,West Bengal,India,22.547682,88.377038
LOC000085,Patna,Bihar,India,25.576157,85.108882
LOC000086,Hyderabad,Telangana,India,17.36413,78.532977
LOC000087,Bhubaneswar,Odisha,India,20.341308,85.857462
LOC000088,Bhopal,Madhya Pradesh,India,23.244771,77.442437
LOC000089,Ahmedabad,Gujarat,India,23.024683,72.582572
LOC000090,Chandigarh,Chandigarh,India,30.746037,76.800564
LOC000091,Bhubaneswar,Odisha,India,20.307183,85.833725
LOC000092,Delhi,Delhi,India,28.646461,77.248874
LOC000093,Pune,Maharashtra,India,18.474482,73.888445
LOC000094,Chennai,Tamil Nadu,India,13.097806,80.277397
LOC000095,Patna,Bihar,India,25.555461,85.146533
LOC000096,Chennai,Tamil Nadu,India,13.062484,80.276468
LOC000097,Indore,Madhya Pradesh,India,22.742417,75.860593
LOC000098,Mumbai,Maharashtra,India,19.077848,72.902502
LOC000099,Indore,Madhya Pradesh,India,22.730421,75.808006
LOC000100,Hyderabad,Telangana,India,17.410955,78.486772
LOC000101,Chennai,Tamil Nadu,India,13.045595,80.267266
LOC000102,Hyderabad,Telangana,India,17.397416,78.483354
LOC000103,Hyderabad,Telangana,India,17.411564,78.503889
LOC000104,Jaipur,Rajasthan,India,26.872373,75.745233
LOC000105,Mysuru,Karnataka,India,12.318041,76.595648
LOC000106,Patna,Bihar,India,25.635037,85.167704
LOC000107,Patna,Bihar,India,25.608362,85.108595
LOC000108,Delhi,Delhi,India,28.602247,77.16337
LOC000109,Delhi,Delhi,India,28.56665,77.257291
LOC000110,Delhi,Delhi,India,28.605734,77.222785
LOC000111,Chandigarh,Chandigarh,India,30.76405,76.742395
LOC000112,Pune,Maharashtra,India,18.482339,73.810285
LOC000113,Delhi,Delhi,India,28.649776,77.256294
LOC000114,Kolkata,West Bengal,India,22.52334,88.392771
LOC000115,Bhubaneswar,Odisha,India,20.309582,85.803723
LOC000116,Lucknow,Uttar Pradesh,India,26.892923,80.995368
LOC000117,Delhi,Delhi,India,28.630569,77.246438
LOC000118,Bengaluru,Karnataka,India,12.982709,77.551586
LOC000119,Kolkata,West Bengal,India,22.53201,88.402224
LOC000120,Ahmedabad,Gujarat,India,23.071008,72.54822
LOC000121,Surat,Gujarat,India,21.14649,72.879208
LOC000122,Delhi,Delhi,India,28.637651,77.21577
LOC000123,Chandigarh,Chandigarh,India,30.76253,76.764595
LOC000124,Pune,Maharashtra,India,18.494402,73.903954
LOC000125,Bengaluru,Karnataka,India,12.9604,77.549259
LOC000126,Surat,Gujarat,India,21.178048,72.811895
LOC000127,Indore,Madhya Pradesh,India,22.749376,75.864962
LOC000128,Lucknow,Uttar Pradesh,India,26.863591,80.896568
LOC000129,Bhopal,Madhya Pradesh,India,23.285969,77.389709
LOC000130,Delhi,Delhi,India,28.661498,77.219275
LOC000131,Pune,Maharashtra,India,18.553733,73.814606
LOC000132,Pune,Maharashtra,India,18.561183,73.829742
LOC000133,Hyderabad,Telangana,India,17.403238,78.437555
LOC000134,Bhubaneswar,Odisha,India,20.335391,85.812616
LOC000135,Nagpur,Maharashtra,India,21.191902,79.050633
LOC000136,Kolkata,West Bengal,India,22.614135,88.383435
LOC000137,Chennai,Tamil Nadu,India,13.087003,80.303113
LOC000138,Surat,Gujarat,India,21.136731,72.832242
LOC000139,Hyderabad,Telangana,India,17.337399,78.443741
LOC000140,Delhi,Delhi,India,28.585612,77.208802
LOC000141,Thane,Maharashtra,India,19.232047,73.019061
LOC000142,Delhi,Delhi,India,28.653922,77.216995
LOC000143,Ahmedabad,Gujarat,India,22.980986,72.597627
LOC000144,Thane,Maharashtra,India,19.254961,72.993035
LOC000145,Bhubaneswar,Odisha,India,20.270926,85.854573
LOC000146,Mysuru,Karnataka,India,12.289969,76.624176
LOC000147,Patna,Bihar,India,25.615585,85.088809
LOC000148,Pune,Maharashtra,India,18.473375,73.849132
LOC000149,Thane,Maharashtra,India,19.202598,73.012736
LOC000150,Surat,Gujarat,India,21.146908,72.857834
LOC000151,Jaipur,Rajasthan,India,26.896864,75.809886
LOC000152,Nagpur,Maharashtra,India,21.100677,79.05485
LOC000153,Hyderabad,Telangana,India,17.382578,78.484966
LOC000154,Lucknow,Uttar Pradesh,India,26.886727,80.975675
LOC000155,Mysuru,Karnataka,India,12.248495,76.643137
LOC000156,Mumbai,Maharashtra,India,19.047139,72.854425
LOC000157,Ahmedabad,Gujarat,India,22.980327,72.545469
LOC000158,Bhopal,Madhya Pradesh,India,23.259145,77.460051
LOC000159,Ahmedabad,Gujarat,India,22.974042,72.557943
LOC000160,Mysuru,Karnataka,India,12.261294,76.626925
LOC000161,Pune,Maharashtra,India,18.498595,73.900552
LOC000162,Bhubaneswar,Odisha,India,20.344296,85.856176
LOC000163,Surat,Gujarat,India,21.120701,72.859783
LOC000164,Chennai,Tamil Nadu,India,13.033578,80.289011
LOC000165,Patna,Bihar,India,25.632129,85.13356
LOC000166,Chennai,Tamil Nadu,India,13.090236,80.297437
LOC000167,Hyderabad,Telangana,India,17.395252,78.437993
LOC000168,Pune,Maharashtra,India,18.508532,73.819481
LOC000169,Surat,Gujarat,India,21.141213,72.804562
LOC000170,Mumbai,Maharashtra,India,19.125375,72.898947
LOC000171,Chennai,Tamil Nadu,India,13.037924,80.303363
LOC000172,Bhopal,Madhya Pradesh,India,23.26162,77.442713
LOC000173,Patna,Bihar,India,25.618478,85.120853
LOC000174,Mysuru,Karnataka,India,12.252972,76.66039
